"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Keat Cheong Auto Service Centre","4","174","5A, Tanjong Tokong Rd","George Town","Penang","MY","https://www.facebook.com/Keat-Cheong-Auto-Service-Centre-333560343732155/","+60 4-890 2976","Tire shop","Auto repair shop",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Keat%20Cheong%20Auto%20Service%20Centre&query_place_id=ChIJR8QI_x3DSjARfSOTj3tL5C8","Tire shop"
"Greenlane Auto Services Sdn Bhd","3.8","37","12, Lorong Delima 1","George Town","Penang","MY",,"+60 4-655 4066","Car repair and maintenance service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Greenlane%20Auto%20Services%20Sdn%20Bhd&query_place_id=ChIJG3piyoHBSjARMA0bFEn_arw","Car repair and maintenance service"
"ADK Mutiara Workshop","4.8","6","32, Lorong Murni 7","Sungai Dua","Penang","MY","http://facebook.com/ADKmutiara.performance","+60 19-266 9985","Air conditioning repair service","Auto repair shop","Car repair and maintenance service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=ADK%20Mutiara%20Workshop&query_place_id=ChIJD8VLUI_aSjARG1Cx8r5aeug","Air conditioning repair service"
"Speed Link Automotive","4.4","30","103, Jln Lembah Permai","Tanjung Bungah","Penang","MY","https://sbhshannon.wixsite.com/speedlink","+60 16-443 6750","Car repair and maintenance service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Speed%20Link%20Automotive&query_place_id=ChIJvQO-X8fCSjAR5KaNJ82HGmM","Car repair and maintenance service"
"Panasonic Malaysia Service Centre (Penang)","2.8","117","117, Jln Macalister","George Town","Penang","MY","http://www.panasonic.com.my/","+60 4-227 4070","Appliance repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Panasonic%20Malaysia%20Service%20Centre%20(Penang)&query_place_id=ChIJOZyYdrzDSjARLy8bPRZmTp4","Appliance repair service"
"Castrol Auto Service Workshop - Happy Motors","4","43","1a, Lorong Teras Jaya 2","Butterworth","Penang","MY","https://www.castrol.com/en_my/malaysia/home/product-finder.html?page=wheretobuy","+60 4-323 0487","Oil change service","Auto air conditioning service","Brake shop","Car detailing service","Car repair and maintenance service","Chauffeur service","Car wash","Mechanic","Towing service",,"https://www.google.com/maps/search/?api=1&query=Castrol%20Auto%20Service%20Workshop%20-%20Happy%20Motors&query_place_id=ChIJEdNMf-vFSjARxRcWC-4gQAs","Oil change service"
"Kim Seng Car Body Repair","4.9","25","LOT 20011, Jalan Jelutong","George Town","Penang","MY",,"+60 10-401 3886","Air conditioning repair service","Auto body shop","Auto bodywork mechanic","Auto insurance agency","Auto painting","Car battery store","Repair service","Towing service",,,"https://www.google.com/maps/search/?api=1&query=Kim%20Seng%20Car%20Body%20Repair&query_place_id=ChIJwY3cjt7DSjARkLE8pzMHwUQ","Air conditioning repair service"
"AIRCOND SERVICE PULAU PINANG",,,,,,,"https://sites.google.com/view/nazranairconditioning/branches/aircond-service-penang","+60 12-246 8145","Air conditioning contractor","Service establishment",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AIRCOND%20SERVICE%20PULAU%20PINANG&query_place_id=ChIJcUyIAvHFSjARjM4ZFJ3fZic","Air conditioning contractor"
"Khayr Technician Services","5","3",,,,,,"+60 11-2525 4917","Air conditioning contractor","Electrician","Service establishment",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Khayr%20Technician%20Services&query_place_id=ChIJ18flCenFOoQRLbiq0TNdfRg","Air conditioning contractor"
"Lee Sheng Air-Conditioning & Trading Sdn Bhd","4.6","7","2865, Jalan Rozhan","Bukit Mertajam","Penang","MY","http://www.leeshengaircond2007.com/","+60 12-439 7568","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lee%20Sheng%20Air-Conditioning%20%26%20Trading%20Sdn%20Bhd&query_place_id=ChIJlSvGkUnISjARuTTCdsFrV70","Air conditioning repair service"
"Arafat star enterprise electrical (wire man)","4.9","110","Machang Bubok, 23, Lorong Bidara 16","Bukit Mertajam","Penang","MY","https://www.facebook.com/profile.php?id=100065628033154&mibextid=LQQJ4d","+60 12-526 4659","Electrician","Plumber",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Arafat%20star%20enterprise%20electrical%20(wire%20man)&query_place_id=ChIJ7RjAWl3JSjARZFcEtqxTiAs","Electrician"
"KTL Electrical Engineering Sdn Bhd","3.8","6","40, Lorong Seruling 5","Simpang Ampat","Penang","MY","http://www.ktlelec.com/","+60 13-528 7829","Electrical installation service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KTL%20Electrical%20Engineering%20Sdn%20Bhd&query_place_id=ChIJhyhy53C3SjAR8K5SDe0zMK8","Electrical installation service"
"Kedai Aircond And Wiring Abang Sejuk Penang","5","4","5, Jalan Perniagaan Perda Barat","Bukit Mertajam","Penang","MY","https://www.facebook.com/Abangsejuksungaipetani","+60 11-1162 9956","Air conditioning system supplier",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kedai%20Aircond%20And%20Wiring%20Abang%20Sejuk%20Penang&query_place_id=ChIJJSjW0YnHSjAR-yMyADvpMQg","Air conditioning system supplier"
"AMMAR ELECTRICAL & AIR CONDITION","4.3","14","2-1-3, The Latitude Complex, Persiaran Halia 3","Tanjung Bungah","Penang","MY","https://ammarelectricalandaircondition.webador.com/","+60 18-299 4175","Air conditioning contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AMMAR%20ELECTRICAL%20%26%20AIR%20CONDITION&query_place_id=ChIJN9w0PQTDSjAR1DUbHZk5v1Y","Air conditioning contractor"
"Etuck Refrigeration & Air- Cond Service","4.1","13","134-G, Jln Damai","Bukit Mertajam","Penang","MY",,"+60 19-460 4589","Refrigerator repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Etuck%20Refrigeration%20%26%20Air-%20Cond%20Service&query_place_id=ChIJU9ECN1LISjARuO328bMwJQU","Refrigerator repair service"
"KS LEAN AUTO AirCond & Accessories Service","4.4","170","32, Jalan Mayang Pasir","Bayan Lepas","Penang","MY",,"+60 4-646 2988","Window tinting service","Auto air conditioning service","Car accessories store","Car battery store",,,,,,,"https://www.google.com/maps/search/?api=1&query=KS%20LEAN%20AUTO%20AirCond%20%26%20Accessories%20Service&query_place_id=ChIJY5xf2WvASjARJdxwtg4pCj4","Window tinting service"
"Walter Auto Services & Accessories Centre","3.5","4","244, Jln Baru Batu Maung","Bayan Lepas","Penang","MY",,"+60 4-626 1824","Air conditioning repair service","Auto repair shop","Car battery store","Electrical engineer",,,,,,,"https://www.google.com/maps/search/?api=1&query=Walter%20Auto%20Services%20%26%20Accessories%20Centre&query_place_id=ChIJdfUNWpW_SjARwcRUMBOSf_c","Air conditioning repair service"
"AYEN AUTO GARAGE servis kereta dan penukaran cermin dan aircond","4.9","79","3, Lorong Damar 1","Bayan Lepas","Penang","MY","https://www.facebook.com/share/1EUA2mybRM/?mibextid=wwXIfr","+60 14-246 7408","Air conditioning repair service","Machine workshop","Auto glass shop","Car battery store","Car dealer",,,,,,"https://www.google.com/maps/search/?api=1&query=AYEN%20AUTO%20GARAGE%20servis%20kereta%20dan%20penukaran%20cermin%20dan%20aircond&query_place_id=ChIJrcNHPti_SjAR192QnS2IVws","Air conditioning repair service"
"Kiah Auto Aircond Service Center","4.6","14","127, Lrg Tembikai 1","Bukit Mertajam","Penang","MY",,"+60 12-451 2415","Air conditioning repair service","Auto repair shop","Car battery store","Chauffeur service",,,,,,,"https://www.google.com/maps/search/?api=1&query=Kiah%20Auto%20Aircond%20Service%20Center&query_place_id=ChIJ3Wt6p53ISjARt8oxrLCgiG8","Air conditioning repair service"
"Lean Huat Car Air Cond Service","4.8","16","30 G, Jalan Kampung Gajah","Butterworth","Penang","MY",,"+60 4-323 1595","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lean%20Huat%20Car%20Air%20Cond%20Service&query_place_id=ChIJvxEWvl7ESjARiHA6tSAtuY8","Air conditioning repair service"
